"ID","FCR_EXTERNAL_ID__C"
"0010Y00000Rpl25QAB","683609"
"0010Y00000Rpl2jQAB","244000"
"0010Y00000Rpl3MQAR","816996"
"0010Y00000Rpl3pQAB","1394216"
"0010Y00000Rpl42QAB","1381288"
"0010Y00000Rpl49QAB","4642199"
"0010Y00000Rpl4aQAB","1469984"
"0010Y00000Rpl4dQAB","1472392"
"0010Y00000RplCdQAJ","1510373"
"0010Y00000RplCrQAJ","1498104"
"0010Y00000RplDYQAZ","1339717"
"0010Y00000RplHCQAZ","1298755"
"0010Y00000RplHOQAZ","1300631"
"0010Y00000RplICQAZ","1351916"
"0010Y00000RplILQAZ","1407886"
"0010Y00000RplIPQAZ","1412632"
"0010Y00000RplIgQAJ","1395735"
"0010Y00000RplIhQAJ","1395089"
"0010Y00000RplIkQAJ","1404481"
"0010Y00000RplJUQAZ","1205444"
"0010Y00000RplJbQAJ","1169089"
"0010Y00000RplMYQAZ","43854"
"0010Y00000RplNSQAZ","1127732"
"0010Y00000RplNbQAJ","1165134"
"0010Y00000RplOeQAJ","919760"
"0010Y00000RplOoQAJ","971490"
"0010Y00000RplOrQAJ","979840"
"0010Y00000RplOxQAJ","758093"
"0010Y00000RplPFQAZ","704949"
"0010Y00000RplPQQAZ","1446918"
"0010Y00000RplPiQAJ","824732"
"0010Y00000RplPtQAJ","621924"
"0010Y00000RplQHQAZ","657794"
"0010Y00000RplWaQAJ","144613"
"0010Y00000RplWyQAJ","223247"
"0010Y00000RplX1QAJ","256613"
"0010Y00000RplX3QAJ","242533"
"0010Y00000RplX7QAJ","291607"
"0010Y00000RplXQQAZ","314039"
"0010Y00000RplXeQAJ","389925"
"0010Y00000RplXtQAJ","191002"
"0010Y00000RplXwQAJ","180593"
"0010Y00000RplYCQAZ","4787"
"0010Y00000RplYDQAZ","9276"
"0010Y00000RplYXQAZ","32671"
"0010Y00000RplYaQAJ","34418"
"0010Y00000RplYiQAJ","21089"
"0010Y00000RplYtQAJ","38122"
"0010Y00000RplZ5QAJ","58716"
"0010Y00000RplchQAB","103717"
"0010Y00000RpldZQAR","5857815"
"0010Y00000RpldjQAB","6496562"
"0010Y00000RplecQAB","1468279"
"0010Y00000RplerQAB","627649"
"0010Y00000Rplf7QAB","1489262"
"0010Y00000RpmLtQAJ","6889521"
"0010Y00000RpnuOQAR","6724816"
"0010Y00000Rpox0QAB","1369780"
"0010Y00000Rq7KRQAZ","6744204"
"0010Y00000RqB8iQAF","60712"
"0010Y00000RqBjYQAV","1428878"
"0010Y00000RqCXJQA3","2191322"
"0010Y00000RqCXKQA3","1391375"
"0010Y00000RqDLvQAN","6738558"
"0010Y00000RqDMYQA3","6728994"
"0010Y00000RqDewQAF","1397063"
"0010Y00000RqDfxQAF","926475"
"0010Y00000RqDy1QAF","1173118"
"0010Y00000RqDyAQAV","1208311"
"0010Y00000RqEGYQA3","635291"
"0010Y00000RqEZxQAN","59740"
"0010Y00000RqEbkQAF","1458365"
"0010Y00000RqEcFQAV","5853801"
"0010Y00000RqEswQAF","1409830"
"0010Y00000RqEuaQAF","184665"
"0010Y00000RqEz0QAF","915024"
"0010Y00000RqEzKQAV","90535"
"0010Y00000RqEzWQAV","1416107"
"0010Y00000RqF09QAF","1482788"
"0010Y00000RqF0TQAV","28606"
"0010Y00000RqF1BQAV","1489006"
"0010Y00000RqF1wQAF","221662"
"0010Y00000RqF21QAF","25360"
"0010Y00000RqF29QAF","153100"
"0010Y00000RqFC0QAN","69800"
"0010Y00000RqFC9QAN","1473463"
"0010Y00000RqFCMQA3","1491826"
"0010Y00000RqFCjQAN","2194897"
"0010Y00000RqFIFQA3","1450881"
"0010Y00000RqFIGQA3","1452659"
"0010Y00000RqFIJQA3","1489511"
"0010Y00000RqFIKQA3","1490501"
"0010Y00000RqFIjQAN","1496437"
"0010Y00000RqFJ7QAN","1393458"
"0010Y00000RqFJ8QAN","1456957"
"0010Y00000RqFJVQA3","1446543"
"0010Y00000RqFJWQA3","1157644"
"0010Y00000RqFkvQAF","1459000"
"0010Y00000RqFo1QAF","6750416"
"0010Y00000RqGBGQA3","6967187"
"0010Y00000RqGM2QAN","6808600"
"0010Y00000RqGdsQAF","6695024"
"0010Y00000RqGzcQAF","6697998"
"0010Y00000RqH6YQAV","421931"
"0010Y00000RqH9sQAF","6873667"
"0010Y00000RqH9xQAF","1439913"
"0010Y00000RqHAHQA3","1244985"
"0010Y00000RqHATQA3","6685278"
"0010Y00000RqHAUQA3","6724065"
"0010Y00000RqHAVQA3","1088423"
"0010Y00000RqHAWQA3","6801226"
"0010Y00000RqHAdQAN","2178485"
"0010Y00000SiWZhQAN","897534"
"0010Y00000SiWZnQAN","986326"
"0010Y00000SiWZuQAN","1025317"
"0010Y00000SiWaFQAV","1448939"
"0010Y00000SiWaGQAV","1491129"
"0010Y00000SiWaHQAV","1477707"
"0010Y00000SiWaKQAV","1496526"
"0010Y00000SiWaNQAV","2162240"
"0010Y00000SiWabQAF","6650531"
"0010Y00000SiWacQAF","6684893"
"0010Y00000SiWaiQAF","6733410"
"0010Y00000SiWajQAF","6735291"
"0010Y00000SiWarQAF","6761872"
"0010Y00000SiWasQAF","6771165"
"0010Y00000SiWauQAF","6776749"
"0010Y00000SiWb0QAF","20537485"
"0010Y00000SiWb2QAF","6948323"
"0010Y00000SiWb3QAF","6948378"
"0010Y00000SiWb4QAF","6948486"
"0010Y00000SiWb5QAF","6948490"
"0010Y00000SiWb8QAF","1043464"
"0010Y00000SiWbDQAV","6813132"
"0010Y00000SiWbFQAV","6816170"
"0010Y00000SiWbJQAV","6841851"
"0010Y00000SiWbPQAV","6864600"
"0010Y00000SiWbRQAV","6873517"
"0010Y00000SiWbUQAV","1113991"
"0010Y00000SiWbaQAF","1147525"
"0010Y00000SiWbfQAF","1170726"
"0010Y00000SiWbiQAF","6881664"
"0010Y00000SiWbjQAF","6893833"
"0010Y00000SiWbmQAF","6905648"
"0010Y00000SiWbnQAF","6907910"
"0010Y00000SiWbrQAF","6919777"
"0010Y00000SiWbsQAF","6921768"
"0010Y00000SiWbtQAF","6922486"
"0010Y00000SiWbuQAF","6922490"
"0010Y00000SiWbyQAF","6943193"
"0010Y00000SiWbzQAF","6950348"
"0010Y00000SiWc6QAF","6952720"
"0010Y00000SiWc8QAF","6955195"
"0010Y00000SiWcAQAV","6958538"
"0010Y00000SiWfjQAF","6962509"
"0010Y00000SiWfkQAF","6962510"
"0010Y00000SiWfmQAF","6964504"
"0010Y00000SiWfnQAF","6964505"
"0010Y00000SiWfoQAF","6968351"
"0010Y00000SiWfpQAF","6968352"
"0010Y00000SiWfqQAF","6970532"
"0010Y00000SiWfsQAF","6976187"
"0010Y00000SiWfuQAF","6976282"
"0010Y00000SiWfvQAF","6976699"
"0010Y00000SiWfwQAF","6982221"
"0010Y00000SiWfxQAF","6982224"
"0010Y00000SiWfyQAF","6984428"
"0010Y00000SiWfzQAF","6984430"
"0010Y00000SiWg0QAF","6984570"
"0010Y00000SiWg1QAF","6984578"
"0010Y00000SiWg2QAF","6984581"
"0010Y00000SiWg3QAF","6986327"
"0010Y00000SiWg8QAF","1878"
"0010Y00000SiWgAQAV","4449"
"0010Y00000SiWgZQAV","130139"
"0010Y00000SiWgqQAF","276246"
"0010Y00000SiWgwQAF","372231"
"0010Y00000SiWgxQAF","3913041"
"0010Y00000SiWgyQAF","388654"
"0010Y00000SiWh5QAF","518751"
"0010Y00000SiWh6QAF","536096"
"0010Y00000SiWh8QAF","539867"
"0010Y00000SiWhOQAV","671865"
"0010Y00000SiWhcQAF","811318"
"0010Y00000SiWhiQAF","838731"
"0010Y00000SiWhpQAF","1084978"
"0010Y00000SiWhtQAF","6992594"
"0010Y00000SiWhuQAF","6992595"
"0010Y00000SiWiPQAV","20173005"
"0010Y00000SiWinQAF","654321"
"0010Y00000SiWioQAF","1330862"
"0010Y00000SiWklQAF","20170530"
"0010Y00000cS26YQAS","7926103"
"0010Y00000cS26oQAC","1470500"
"0010Y00000cS26qQAC","645545"
"0010Y00000uAEuuQAG","102400"
"0010Y00001DvkGUQAZ","106227"
"0010Y00000SiWlZQAV","25342"
"0010Y00000SiWlaQAF","1455988"
"0010Y00000SiWlbQAF","845293"
"0010Y00000SiWlgQAF","864759"
"0010Y00000SiWliQAF","786262"
"0010Y00000SiWljQAF","1423545"
"0010Y00000SiWl6QAF","386009"
"0010Y00000SiWlvQAF","306018"
"0010Y00000SiWm9QAF","114734"
"0010Y00000SiWmLQAV","253932"
"0010Y00000VqzuXQAR","1388561"
"0010Y00000SkPP0QAN","1409516"
"0010Y00000T4g5qQAB","1276436"
"0010Y00000njNy3QAE","101625"
"0010Y00000bT6dlQAC","99570"
"0010Y00000VqNDNQA3","7087904"
"0010Y00000be0V9QAI","913030"
"0010Y00000XpdReQAJ","5856470"
"0010Y000014v6k9QAA","104423"
"0010Y00000TpCMJQA3","098294"
"0010Y00000TpmNlQAJ","098355"
"0010Y00000S6VyiQAF","202101"
"0010Y00000S6VwwQAF","7023796"
"0010Y00000Tptg2QAB","7022783"
"0010Y00000TpWvrQAF","3276929"
"0010Y00000TqeEsQAJ","613519"
"0010Y00000bhMVWQA2","99788"
"0010Y00000cTAteQAG","99916"
"0010Y000014ujsDQAQ","4236841"
"0010Y00000RpodBQAR","94689"
"0010Y00000S6VzMQAV","2162241"
"0010Y00000VoqWoQAJ","98474"
"0010Y00000Zw00cQAB","99442"
"0010Y00000cSwPxQAK","99877"
"0010Y00000cTFVuQAO","99930"
"0010Y00000ZuuuoQAB","099315"
"0010Y00000ffq8cQAA","100537"
"0010Y00000fgE25QAE","100583"
"0010Y00000Yy8SiQAJ","099146"
"0010Y00000ber7UQAQ","99709"
"0010Y00000cS2TTQA0","099856"
"0010Y00000Zt7cvQAB","099245"
"0010Y00000cTiF4QAK","099994"
"0010Y00000rdfMqQAI","102076"
"0010Y00000dJ53vQAC","100140"
"0010Y00001BPSpIQAX","105298"
"0010Y00000dJ558QAC","100142"
"0010Y00000fgTVlQAM","100634"
"0010Y00000kW4IAQA0","100832"
"0010Y00000kXE8KQAW","100970"
"0010Y000012TIZmQAO","103617"
"0010Y00000Xo5SZQAZ","98908"
"0010Y00000XoVYnQAN","98953"
"0010Y00000rdFWIQA2","102039"
"0010Y00000S6yTrQAJ","7022266"
"0010Y00000T2o6GQAR","97862"
"0010Y00000TorcQQAR","098262"
"0010Y00000b5kcPQAQ","99564"
"0010Y00000u7x4WQAQ","102325"
"0010Y00000u7skNQAQ","102302"
"0010Y00000u8nlFQAQ","102332"
"0010Y00000u7D47QAE","7077958"
